QUICK MEMORY MONITORING REPORT
==================================================

Duration: 0.98 hours
Growth Rate: -2.70MB/hour
Memory Increase: -2.7MB
Peak Memory: 54.6MB

SAMPLE DATA:
Time		Memory(MB)	Increase(MB)
----------------------------------------
16:59:51	48.5		+0.0
16:59:51	48.5		+0.0
17:00:51	54.6		+6.1
17:01:51	52.7		+4.2
17:02:51	38.5		-10.0
17:03:51	33.3		-15.2
17:04:51	37.8		-10.7
17:05:51	42.4		-6.1
17:06:51	36.9		-11.6
17:07:51	37.8		-10.7
17:08:51	36.9		-11.6
17:09:51	47.0		-1.5
17:10:51	38.5		-9.9
17:11:51	38.4		-10.1
17:12:51	46.8		-1.7
17:13:51	38.2		-10.2
17:14:51	36.7		-11.8
17:15:51	36.7		-11.8
17:16:51	35.6		-12.9
17:17:51	44.6		-3.9
17:18:51	46.0		-2.4
17:19:51	34.2		-14.3
17:20:51	36.1		-12.4
17:21:51	45.5		-3.0
17:22:51	46.4		-2.0
17:23:51	46.8		-1.7
17:24:51	35.7		-12.8
17:25:51	35.4		-13.1
17:26:51	46.7		-1.8
17:27:51	47.1		-1.4
17:28:51	45.7		-2.8
17:29:51	47.5		-1.0
17:30:51	46.2		-2.3
17:31:51	46.4		-2.1
17:32:51	44.9		-3.6
17:33:51	46.8		-1.7
17:34:51	46.2		-2.3
17:35:51	48.7		+0.2
17:36:51	46.8		-1.7
17:37:51	47.2		-1.3
17:38:51	46.9		-1.6
17:39:51	46.2		-2.3
17:40:51	46.9		-1.6
17:41:51	46.6		-1.9
17:42:51	47.2		-1.2
17:43:51	45.7		-2.8
17:44:51	47.2		-1.3
17:45:51	46.0		-2.5
17:46:51	46.1		-2.4
17:47:51	46.7		-1.8
17:48:51	46.5		-2.0
17:49:51	46.0		-2.5
17:50:51	46.5		-2.0
17:51:51	45.9		-2.6
17:52:51	45.9		-2.6
17:53:51	45.3		-3.2
17:54:51	46.2		-2.3
17:55:51	47.1		-1.4
17:56:51	46.0		-2.5
17:57:51	46.9		-1.6
17:58:51	45.8		-2.7
