QUICK MEMORY MONITORING REPORT
==================================================

Duration: 0.49 hours
Growth Rate: -3.65MB/hour
Memory Increase: -1.8MB
Peak Memory: 49.6MB

SAMPLE DATA:
Time		Memory(MB)	Increase(MB)
----------------------------------------
17:25:51	35.4		+0.0
17:25:51	35.4		+0.0
17:26:21	46.0		+10.6
17:26:51	46.7		+11.3
17:27:21	44.2		+8.8
17:27:51	47.1		+11.7
17:28:21	46.9		+11.5
17:28:51	45.7		+10.3
17:29:21	47.0		+11.5
17:29:51	47.5		+12.0
17:30:21	47.8		+12.3
17:30:51	46.2		+10.8
17:31:21	46.4		+11.0
17:31:51	46.4		+11.0
17:32:21	45.3		+9.9
17:32:51	44.9		+9.4
17:33:21	46.7		+11.2
17:33:51	46.5		+11.1
17:34:21	46.3		+10.9
17:34:51	46.2		+10.8
17:35:21	45.9		+10.5
17:35:51	48.7		+13.3
17:36:21	49.6		+14.2
17:36:51	46.8		+11.3
17:37:21	47.2		+11.8
17:37:51	47.2		+11.8
17:38:21	47.1		+11.7
17:38:52	46.9		+11.5
17:39:22	46.8		+11.4
17:39:52	46.0		+10.5
17:40:22	48.1		+12.7
17:40:52	46.9		+11.5
17:41:22	46.3		+10.9
17:41:52	46.6		+11.2
17:42:22	47.2		+11.7
17:42:52	47.2		+11.8
17:43:22	46.9		+11.4
17:43:52	45.7		+10.2
17:44:22	46.9		+11.4
17:44:52	47.2		+11.8
17:45:22	37.7		+2.2
17:45:52	46.0		+10.6
17:46:22	37.0		+1.6
17:46:52	46.1		+10.7
17:47:22	46.4		+11.0
17:47:52	46.7		+11.3
17:48:22	37.9		+2.4
17:48:52	46.5		+11.0
17:49:22	46.1		+10.7
17:49:52	46.0		+10.5
17:50:22	37.6		+2.2
17:50:52	46.5		+11.0
17:51:22	45.9		+10.5
17:51:52	45.9		+10.5
17:52:22	46.0		+10.6
17:52:52	45.9		+10.5
17:53:22	45.3		+9.9
17:53:52	45.4		+9.9
17:54:22	46.0		+10.6
17:54:52	46.2		+10.7
17:55:22	33.6		-1.8
